netflix_id,title,image,imdb_rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,updated_db,item_category
0,Pop Team Epic,https://www.whats-on-netflix.com/wp-content/uploads/covers/popteamepic.jpeg,6.9/10,https://www.whats-on-netflix.com/clickout?netflixid=0,,TV Series,Season 1,,TV-14,This animated adaptation of the quirky four-panel comic brings the random exploits of Popuko and Pipimi to life.,"Animation, Comedy","Tohru Adachi, Bryn Apprill, Shunsuke Itakura, Mikaela Krantz",,,Japanese,"Mar 28, 2020",What’s New on Netflix
1008581,Stripes,https://www.whats-on-netflix.com/wp-content/uploads/covers/stripes.jpeg,6.9/10,https://www.whats-on-netflix.com/clickout?netflixid=1008581,,Movie,,1981,R,"After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.","Comedy, War","Bill Murray, Harold Ramis, Warren Oates, P.J. Soles",Ivan Reitman,106 min,English,"Mar 28, 2020",What’s New on Netflix
1029730,Teenage Mutant Ninja Turtles: The Movie,https://www.whats-on-netflix.com/wp-content/uploads/covers/teenagemutantninjaturtlesthemovie.jpeg,6.8/10,https://www.whats-on-netflix.com/clickout?netflixid=1029730,,Movie,,1990,PG,"After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it.","Action, Adventure, Comedy, Family, Sci-Fi","Judith Hoag, Elias Koteas, Josh Pais, David Forman",Steve Barron,93 min,English,"Mar 28, 2020",What’s New on Netflix
1038844,A Thin Line Between Love & Hate,https://www.whats-on-netflix.com/wp-content/uploads/covers/athinlinebetweenlovehate.jpeg,5.7/10,https://www.whats-on-netflix.com/clickout?netflixid=1038844,,Movie,,1996,R,"Big-time player and club promoter Darnell does a double-take when a sophisticated beauty named Brandi catches his eye at the club. But as he tries to win her over, the prize is far from what he expected.","Comedy, Crime, Drama, Romance, Thriller","Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown",Martin Lawrence,108 min,English,"Mar 28, 2020",What’s New on Netflix
1064058,Tremors 2: Aftershocks,https://www.whats-on-netflix.com/wp-content/uploads/covers/tremors2aftershocks.jpeg,6.0/10,https://www.whats-on-netflix.com/clickout?netflixid=1064058,,Movie,,1996,PG-13,A rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of Mexico.,"Action, Comedy, Horror, Sci-Fi, Thriller","Fred Ward, Chris Gartin, Helen Shaver, Michael Gross",S.S. Wilson,100 min,English,"Mar 28, 2020",What’s New on Netflix
1067876,True Grit,https://www.whats-on-netflix.com/wp-content/uploads/covers/truegrit.jpeg,7.4/10,https://www.whats-on-netflix.com/clickout?netflixid=1067876,,Movie,,1969,G,Teenage tomboy Mattie Ross enlists the help of crusty lawman Rooster Cogburn to track down the hired hand who murdered her father.,"Adventure, Drama, Western","John Wayne, Glen Campbell, Kim Darby, Jeremy Slate",Henry Hathaway,128 min,English,"Mar 28, 2020",What’s New on Netflix
1120753,Who's Afraid of Virginia Woolf?,https://www.whats-on-netflix.com/wp-content/uploads/covers/whosafraidofvirginiawoolf.jpeg,8.0/10,https://www.whats-on-netflix.com/clickout?netflixid=1120753,,Movie,,1966,Not Rated,An emasculated professor and his rancorous wife turn an evening of cocktails into an onslaught of wrenching disclosures and bellowed epithets.,Drama,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",Mike Nichols,131 min,English,"Mar 28, 2020",What’s New on Netflix
1150871,Love Jones,https://www.whats-on-netflix.com/wp-content/uploads/covers/lovejones.jpeg,7.5/10,https://www.whats-on-netflix.com/clickout?netflixid=1150871,,Movie,,1997,R,"In this urban romantic comedy set in Chicago, the ups and downs of courtship play out between a young black poet and a pretty shutterbug.","Drama, Romance","Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson",Theodore Witcher,104 min,English,"Mar 28, 2020",What’s New on Netflix
1151188,Chasing Amy,https://www.whats-on-netflix.com/wp-content/uploads/covers/chasingamy.jpeg,7.2/10,https://www.whats-on-netflix.com/clickout?netflixid=1151188,,Movie,,1997,R,"Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.","Comedy, Drama, Romance","Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee",Kevin Smith,113 min,English,"Mar 28, 2020",What’s New on Netflix
1151375,Dante's Peak,https://www.whats-on-netflix.com/wp-content/uploads/covers/dantespeak.jpeg,5.9/10,https://www.whats-on-netflix.com/clickout?netflixid=1151375,,Movie,,1997,PG-13,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.","Action, Adventure, Thriller","Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",Roger Donaldson,108 min,English,"Mar 28, 2020",What’s New on Netflix
